result,table,_time,_value,_field,_measurement,sensor_id
,0,2023-04-19T00:02:12Z,0.331799748,co,airSensors,TLM0100
,0,2023-04-19T00:02:22Z,0.313250114,co,airSensors,TLM0100
,0,2023-04-19T00:02:32Z,0.297954882,co,airSensors,TLM0100
,0,2023-04-19T00:02:42Z,0.287459741,co,airSensors,TLM0100
,0,2023-04-19T00:02:52Z,0.288300488,co,airSensors,TLM0100
,0,2023-04-19T00:03:02Z,0.307239197,co,airSensors,TLM0100
,0,2023-04-19T00:03:12Z,0.297064933,co,airSensors,TLM0100
,0,2023-04-19T00:03:22Z,0.292070038,co,airSensors,TLM0100
,0,2023-04-19T00:03:32Z,0.308522293,co,airSensors,TLM0100
,0,2023-04-19T00:03:42Z,0.290760008,co,airSensors,TLM0100
,0,2023-04-19T00:03:52Z,0.27516535,co,airSensors,TLM0100
,0,2023-04-19T00:04:02Z,0.27061745,co,airSensors,TLM0100
,0,2023-04-19T00:04:12Z,0.258080551,co,airSensors,TLM0100
,0,2023-04-19T00:04:22Z,0.253504481,co,airSensors,TLM0100
,0,2023-04-19T00:04:32Z,0.249360029,co,airSensors,TLM0100
,0,2023-04-19T00:04:42Z,0.23957917,co,airSensors,TLM0100
,0,2023-04-19T00:04:52Z,0.253327714,co,airSensors,TLM0100
,0,2023-04-19T00:05:02Z,0.26393556,co,airSensors,TLM0100
,0,2023-04-19T00:05:12Z,0.265689021,co,airSensors,TLM0100
,0,2023-04-19T00:05:22Z,0.252262068,co,airSensors,TLM0100
,0,2023-04-19T00:05:32Z,0.251218504,co,airSensors,TLM0100
,0,2023-04-19T00:05:42Z,0.266915375,co,airSensors,TLM0100
,0,2023-04-19T00:05:52Z,0.276038996,co,airSensors,TLM0100
,0,2023-04-19T00:06:02Z,0.284673614,co,airSensors,TLM0100
,0,2023-04-19T00:06:12Z,0.277572291,co,airSensors,TLM0100
,0,2023-04-19T00:06:22Z,0.266774661,co,airSensors,TLM0100
,0,2023-04-19T00:06:32Z,0.273174512,co,airSensors,TLM0100
,0,2023-04-19T00:06:42Z,0.292331484,co,airSensors,TLM0100
,0,2023-04-19T00:06:52Z,0.274348567,co,airSensors,TLM0100
,0,2023-04-19T00:07:02Z,0.280256126,co,airSensors,TLM0100
,0,2023-04-19T00:07:12Z,0.286013572,co,airSensors,TLM0100
,0,2023-04-19T00:07:22Z,0.282487347,co,airSensors,TLM0100
,0,2023-04-19T00:07:32Z,0.293334607,co,airSensors,TLM0100
,0,2023-04-19T00:07:42Z,0.304041178,co,airSensors,TLM0100
,0,2023-04-19T00:07:52Z,0.298368976,co,airSensors,TLM0100
,0,2023-04-19T00:08:02Z,0.287697254,co,airSensors,TLM0100
,0,2023-04-19T00:08:12Z,0.28571497,co,airSensors,TLM0100
,0,2023-04-19T00:08:22Z,0.268672123,co,airSensors,TLM0100
,0,2023-04-19T00:08:32Z,0.264236509,co,airSensors,TLM0100
,0,2023-04-19T00:08:42Z,0.263542502,co,airSensors,TLM0100
,0,2023-04-19T00:08:52Z,0.267467958,co,airSensors,TLM0100
,0,2023-04-19T00:09:02Z,0.2843825,co,airSensors,TLM0100
,0,2023-04-19T00:09:12Z,0.291713864,co,airSensors,TLM0100
,0,2023-04-19T00:09:22Z,0.29417239,co,airSensors,TLM0100
,0,2023-04-19T00:09:32Z,0.276258046,co,airSensors,TLM0100
,0,2023-04-19T00:09:42Z,0.295177948,co,airSensors,TLM0100
,0,2023-04-19T00:09:52Z,0.295552686,co,airSensors,TLM0100
,0,2023-04-19T00:10:02Z,0.314412754,co,airSensors,TLM0100
,0,2023-04-19T00:10:12Z,0.314330081,co,airSensors,TLM0100
,0,2023-04-19T00:10:22Z,0.312859324,co,airSensors,TLM0100
,0,2023-04-19T00:10:32Z,0.321587658,co,airSensors,TLM0100
,0,2023-04-19T00:10:42Z,0.332955999,co,airSensors,TLM0100
,0,2023-04-19T00:10:52Z,0.330143525,co,airSensors,TLM0100
,0,2023-04-19T00:11:02Z,0.347387295,co,airSensors,TLM0100
,0,2023-04-19T00:11:12Z,0.347517731,co,airSensors,TLM0100
,0,2023-04-19T00:11:22Z,0.36443751,co,airSensors,TLM0100
,0,2023-04-19T00:11:32Z,0.359332922,co,airSensors,TLM0100
,0,2023-04-19T00:11:42Z,0.343825436,co,airSensors,TLM0100
,0,2023-04-19T00:11:52Z,0.339336705,co,airSensors,TLM0100
,0,2023-04-19T00:12:02Z,0.334224341,co,airSensors,TLM0100
,0,2023-04-19T00:12:12Z,0.321283395,co,airSensors,TLM0100
,0,2023-04-19T00:12:22Z,0.32369572,co,airSensors,TLM0100
,0,2023-04-19T00:12:32Z,0.326246478,co,airSensors,TLM0100
,0,2023-04-19T00:12:42Z,0.309834598,co,airSensors,TLM0100
,0,2023-04-19T00:12:52Z,0.30357471,co,airSensors,TLM0100
,0,2023-04-19T00:13:02Z,0.299886683,co,airSensors,TLM0100
,0,2023-04-19T00:13:12Z,0.297106773,co,airSensors,TLM0100
,0,2023-04-19T00:13:22Z,0.31000239,co,airSensors,TLM0100
,0,2023-04-19T00:13:32Z,0.29829966,co,airSensors,TLM0100
,0,2023-04-19T00:13:42Z,0.281695031,co,airSensors,TLM0100
,0,2023-04-19T00:13:52Z,0.279898872,co,airSensors,TLM0100
,0,2023-04-19T00:14:02Z,0.288911013,co,airSensors,TLM0100
,0,2023-04-19T00:14:12Z,0.308333645,co,airSensors,TLM0100
,0,2023-04-19T00:14:22Z,0.293535144,co,airSensors,TLM0100
,0,2023-04-19T00:14:32Z,0.307123097,co,airSensors,TLM0100
,0,2023-04-19T00:14:42Z,0.326496755,co,airSensors,TLM0100
,0,2023-04-19T00:14:52Z,0.320132457,co,airSensors,TLM0100
,0,2023-04-19T00:15:02Z,0.303542195,co,airSensors,TLM0100
,0,2023-04-19T00:15:12Z,0.298101092,co,airSensors,TLM0100
,0,2023-04-19T00:15:22Z,0.316453755,co,airSensors,TLM0100
,0,2023-04-19T00:15:32Z,0.308868565,co,airSensors,TLM0100
,0,2023-04-19T00:15:42Z,0.318666473,co,airSensors,TLM0100
,0,2023-04-19T00:15:52Z,0.317265764,co,airSensors,TLM0100
,0,2023-04-19T00:16:02Z,0.304901593,co,airSensors,TLM0100
,0,2023-04-19T00:16:12Z,0.299768537,co,airSensors,TLM0100
,0,2023-04-19T00:16:22Z,0.303023055,co,airSensors,TLM0100
,0,2023-04-19T00:16:32Z,0.286029301,co,airSensors,TLM0100
,0,2023-04-19T00:16:42Z,0.272239291,co,airSensors,TLM0100
,0,2023-04-19T00:16:52Z,0.258075944,co,airSensors,TLM0100
,0,2023-04-19T00:17:02Z,0.273712796,co,airSensors,TLM0100
,0,2023-04-19T00:17:12Z,0.291005801,co,airSensors,TLM0100
,0,2023-04-19T00:17:22Z,0.290508536,co,airSensors,TLM0100
,0,2023-04-19T00:17:32Z,0.291208937,co,airSensors,TLM0100
,0,2023-04-19T00:17:42Z,0.280907626,co,airSensors,TLM0100
,0,2023-04-19T00:17:52Z,0.2956399,co,airSensors,TLM0100
,0,2023-04-19T00:18:02Z,0.31282487,co,airSensors,TLM0100
,0,2023-04-19T00:18:12Z,0.299466906,co,airSensors,TLM0100
,0,2023-04-19T00:18:22Z,0.319153638,co,airSensors,TLM0100
,0,2023-04-19T00:18:32Z,0.299893077,co,airSensors,TLM0100
,0,2023-04-19T00:18:42Z,0.280853843,co,airSensors,TLM0100
,0,2023-04-19T00:18:52Z,0.296104787,co,airSensors,TLM0100
,0,2023-04-19T00:19:02Z,0.315619709,co,airSensors,TLM0100
,0,2023-04-19T00:19:12Z,0.309121976,co,airSensors,TLM0100
,0,2023-04-19T00:19:22Z,0.30617587,co,airSensors,TLM0100
,0,2023-04-19T00:19:32Z,0.287937866,co,airSensors,TLM0100
,0,2023-04-19T00:19:42Z,0.304598195,co,airSensors,TLM0100
,0,2023-04-19T00:19:52Z,0.287511562,co,airSensors,TLM0100
,0,2023-04-19T00:20:02Z,0.303802851,co,airSensors,TLM0100
,0,2023-04-19T00:20:12Z,0.289585622,co,airSensors,TLM0100
,0,2023-04-19T00:20:22Z,0.29746369,co,airSensors,TLM0100
,0,2023-04-19T00:20:32Z,0.301555359,co,airSensors,TLM0100
,0,2023-04-19T00:20:42Z,0.295931028,co,airSensors,TLM0100
,0,2023-04-19T00:20:52Z,0.289019723,co,airSensors,TLM0100
,0,2023-04-19T00:21:02Z,0.273109461,co,airSensors,TLM0100
,0,2023-04-19T00:21:12Z,0.267801229,co,airSensors,TLM0100
,0,2023-04-19T00:21:22Z,0.272464128,co,airSensors,TLM0100
,0,2023-04-19T00:21:32Z,0.257580595,co,airSensors,TLM0100
,0,2023-04-19T00:21:42Z,0.244095762,co,airSensors,TLM0100
,0,2023-04-19T00:21:52Z,0.259572673,co,airSensors,TLM0100
,0,2023-04-19T00:22:02Z,0.265525129,co,airSensors,TLM0100
,0,2023-04-19T00:22:12Z,0.262720816,co,airSensors,TLM0100
,0,2023-04-19T00:22:22Z,0.256524054,co,airSensors,TLM0100
,0,2023-04-19T00:22:32Z,0.250712774,co,airSensors,TLM0100
,0,2023-04-19T00:22:42Z,0.243222275,co,airSensors,TLM0100
,0,2023-04-19T00:22:52Z,0.251749822,co,airSensors,TLM0100
,0,2023-04-19T00:23:02Z,0.260047318,co,airSensors,TLM0100
,0,2023-04-19T00:23:12Z,0.278134254,co,airSensors,TLM0100
,0,2023-04-19T00:23:22Z,0.276481125,co,airSensors,TLM0100
,0,2023-04-19T00:23:32Z,0.285439694,co,airSensors,TLM0100
,0,2023-04-19T00:23:42Z,0.303084979,co,airSensors,TLM0100
,0,2023-04-19T00:23:52Z,0.30246724,co,airSensors,TLM0100
,0,2023-04-19T00:24:02Z,0.310188674,co,airSensors,TLM0100
,0,2023-04-19T00:24:12Z,0.296967314,co,airSensors,TLM0100
,0,2023-04-19T00:24:22Z,0.310697194,co,airSensors,TLM0100
,0,2023-04-19T00:24:32Z,0.319743434,co,airSensors,TLM0100
,0,2023-04-19T00:24:42Z,0.311540762,co,airSensors,TLM0100
,0,2023-04-19T00:24:52Z,0.308249951,co,airSensors,TLM0100
,0,2023-04-19T00:25:02Z,0.307628216,co,airSensors,TLM0100
,0,2023-04-19T00:25:12Z,0.294929569,co,airSensors,TLM0100
,0,2023-04-19T00:25:22Z,0.306619165,co,airSensors,TLM0100
,0,2023-04-19T00:25:32Z,0.316141963,co,airSensors,TLM0100
,0,2023-04-19T00:25:42Z,0.304582457,co,airSensors,TLM0100
,0,2023-04-19T00:25:52Z,0.296517781,co,airSensors,TLM0100
,0,2023-04-19T00:26:02Z,0.29042636,co,airSensors,TLM0100
,0,2023-04-19T00:26:12Z,0.298594798,co,airSensors,TLM0100
,0,2023-04-19T00:26:22Z,0.296720478,co,airSensors,TLM0100
,0,2023-04-19T00:26:32Z,0.28717365,co,airSensors,TLM0100
,0,2023-04-19T00:26:42Z,0.306553395,co,airSensors,TLM0100
,0,2023-04-19T00:26:52Z,0.312302497,co,airSensors,TLM0100
,0,2023-04-19T00:27:02Z,0.323581435,co,airSensors,TLM0100
,0,2023-04-19T00:27:12Z,0.30833595,co,airSensors,TLM0100
,0,2023-04-19T00:27:22Z,0.291169143,co,airSensors,TLM0100
,0,2023-04-19T00:27:32Z,0.281826985,co,airSensors,TLM0100
,0,2023-04-19T00:27:42Z,0.294417034,co,airSensors,TLM0100
,0,2023-04-19T00:27:52Z,0.301615966,co,airSensors,TLM0100
,0,2023-04-19T00:28:02Z,0.310336044,co,airSensors,TLM0100
,0,2023-04-19T00:28:12Z,0.308316406,co,airSensors,TLM0100
,0,2023-04-19T00:28:22Z,0.317012756,co,airSensors,TLM0100
,0,2023-04-19T00:28:32Z,0.325448362,co,airSensors,TLM0100
,0,2023-04-19T00:28:42Z,0.326358329,co,airSensors,TLM0100
,0,2023-04-19T00:28:52Z,0.328644018,co,airSensors,TLM0100
,0,2023-04-19T00:29:02Z,0.336882525,co,airSensors,TLM0100
,0,2023-04-19T00:29:12Z,0.334996413,co,airSensors,TLM0100
,0,2023-04-19T00:29:22Z,0.318331508,co,airSensors,TLM0100
,0,2023-04-19T00:29:32Z,0.315133731,co,airSensors,TLM0100
,0,2023-04-19T00:29:42Z,0.301567465,co,airSensors,TLM0100
,0,2023-04-19T00:29:52Z,0.28437284,co,airSensors,TLM0100
,0,2023-04-19T00:30:02Z,0.289765568,co,airSensors,TLM0100
,0,2023-04-19T00:30:12Z,0.30071733,co,airSensors,TLM0100
,0,2023-04-19T00:30:22Z,0.285596588,co,airSensors,TLM0100
,0,2023-04-19T00:30:32Z,0.297407385,co,airSensors,TLM0100
,0,2023-04-19T00:30:42Z,0.294393969,co,airSensors,TLM0100
,0,2023-04-19T00:30:52Z,0.278868189,co,airSensors,TLM0100
,0,2023-04-19T00:31:02Z,0.290203106,co,airSensors,TLM0100
,0,2023-04-19T00:31:12Z,0.294692912,co,airSensors,TLM0100
,0,2023-04-19T00:31:22Z,0.308999024,co,airSensors,TLM0100
,0,2023-04-19T00:31:32Z,0.291619307,co,airSensors,TLM0100
,0,2023-04-19T00:31:42Z,0.280361957,co,airSensors,TLM0100
,0,2023-04-19T00:31:52Z,0.299340956,co,airSensors,TLM0100
,0,2023-04-19T00:32:02Z,0.280016911,co,airSensors,TLM0100
,0,2023-04-19T00:32:12Z,0.260162371,co,airSensors,TLM0100
,0,2023-04-19T00:32:22Z,0.273066871,co,airSensors,TLM0100
,0,2023-04-19T00:32:32Z,0.28419029,co,airSensors,TLM0100
,0,2023-04-19T00:32:42Z,0.267232544,co,airSensors,TLM0100
,0,2023-04-19T00:32:52Z,0.261362793,co,airSensors,TLM0100
,0,2023-04-19T00:33:02Z,0.274084517,co,airSensors,TLM0100
,0,2023-04-19T00:33:12Z,0.272284651,co,airSensors,TLM0100
,0,2023-04-19T00:33:22Z,0.272882824,co,airSensors,TLM0100
,0,2023-04-19T00:33:32Z,0.266941389,co,airSensors,TLM0100
,0,2023-04-19T00:33:42Z,0.270298168,co,airSensors,TLM0100
,0,2023-04-19T00:33:52Z,0.285983236,co,airSensors,TLM0100
,0,2023-04-19T00:34:02Z,0.294389055,co,airSensors,TLM0100
,0,2023-04-19T00:34:12Z,0.299257288,co,airSensors,TLM0100
,0,2023-04-19T00:34:22Z,0.281805752,co,airSensors,TLM0100
,0,2023-04-19T00:34:32Z,0.27495781,co,airSensors,TLM0100
,0,2023-04-19T00:34:42Z,0.263323002,co,airSensors,TLM0100
,0,2023-04-19T00:34:52Z,0.281208237,co,airSensors,TLM0100
,0,2023-04-19T00:35:02Z,0.300775417,co,airSensors,TLM0100
,0,2023-04-19T00:35:12Z,0.303290481,co,airSensors,TLM0100
,0,2023-04-19T00:35:22Z,0.305288598,co,airSensors,TLM0100
,0,2023-04-19T00:35:32Z,0.292253652,co,airSensors,TLM0100
,0,2023-04-19T00:35:42Z,0.285835889,co,airSensors,TLM0100
,0,2023-04-19T00:35:52Z,0.293271673,co,airSensors,TLM0100
,0,2023-04-19T00:36:02Z,0.300542904,co,airSensors,TLM0100
,0,2023-04-19T00:36:12Z,0.305544812,co,airSensors,TLM0100
,0,2023-04-19T00:36:22Z,0.29954845,co,airSensors,TLM0100
,0,2023-04-19T00:36:32Z,0.305852034,co,airSensors,TLM0100
,0,2023-04-19T00:36:42Z,0.29020578,co,airSensors,TLM0100
,0,2023-04-19T00:36:52Z,0.307404536,co,airSensors,TLM0100
,0,2023-04-19T00:37:02Z,0.323917266,co,airSensors,TLM0100
,0,2023-04-19T00:37:12Z,0.324132605,co,airSensors,TLM0100
,0,2023-04-19T00:37:22Z,0.344021633,co,airSensors,TLM0100
,0,2023-04-19T00:37:32Z,0.326674839,co,airSensors,TLM0100
,0,2023-04-19T00:37:42Z,0.309720285,co,airSensors,TLM0100
,0,2023-04-19T00:37:52Z,0.312878931,co,airSensors,TLM0100
,0,2023-04-19T00:38:02Z,0.306215415,co,airSensors,TLM0100
,0,2023-04-19T00:38:12Z,0.299109031,co,airSensors,TLM0100
,0,2023-04-19T00:38:22Z,0.286934512,co,airSensors,TLM0100
,0,2023-04-19T00:38:32Z,0.278284589,co,airSensors,TLM0100
,0,2023-04-19T00:38:42Z,0.285614963,co,airSensors,TLM0100
,0,2023-04-19T00:38:52Z,0.305098693,co,airSensors,TLM0100
,0,2023-04-19T00:39:02Z,0.301965677,co,airSensors,TLM0100
,0,2023-04-19T00:39:12Z,0.303888446,co,airSensors,TLM0100
,0,2023-04-19T00:39:22Z,0.303319525,co,airSensors,TLM0100
,0,2023-04-19T00:39:32Z,0.306256054,co,airSensors,TLM0100
,0,2023-04-19T00:39:42Z,0.319638214,co,airSensors,TLM0100
,0,2023-04-19T00:39:52Z,0.30309044,co,airSensors,TLM0100
,0,2023-04-19T00:40:02Z,0.287295025,co,airSensors,TLM0100
,0,2023-04-19T00:40:12Z,0.305464823,co,airSensors,TLM0100
,0,2023-04-19T00:40:22Z,0.300357837,co,airSensors,TLM0100
,0,2023-04-19T00:40:32Z,0.284351636,co,airSensors,TLM0100
,0,2023-04-19T00:40:42Z,0.288712332,co,airSensors,TLM0100
,0,2023-04-19T00:40:52Z,0.273531127,co,airSensors,TLM0100
,0,2023-04-19T00:41:02Z,0.293332311,co,airSensors,TLM0100
,0,2023-04-19T00:41:12Z,0.279519179,co,airSensors,TLM0100
,0,2023-04-19T00:41:22Z,0.280370684,co,airSensors,TLM0100
,0,2023-04-19T00:41:32Z,0.290743901,co,airSensors,TLM0100
,0,2023-04-19T00:41:42Z,0.281987158,co,airSensors,TLM0100
,0,2023-04-19T00:41:52Z,0.279065959,co,airSensors,TLM0100
,0,2023-04-19T00:42:02Z,0.293766526,co,airSensors,TLM0100
,0,2023-04-19T00:42:12Z,0.281733066,co,airSensors,TLM0100
,0,2023-04-19T00:42:22Z,0.278376826,co,airSensors,TLM0100
,0,2023-04-19T00:42:32Z,0.275353897,co,airSensors,TLM0100
,0,2023-04-19T00:42:42Z,0.27303227,co,airSensors,TLM0100
,0,2023-04-19T00:42:52Z,0.266236418,co,airSensors,TLM0100
,0,2023-04-19T00:43:02Z,0.268471823,co,airSensors,TLM0100
,0,2023-04-19T00:43:12Z,0.288369149,co,airSensors,TLM0100
,0,2023-04-19T00:43:22Z,0.297398114,co,airSensors,TLM0100
,0,2023-04-19T00:43:32Z,0.288389724,co,airSensors,TLM0100
,0,2023-04-19T00:43:42Z,0.297599537,co,airSensors,TLM0100
,0,2023-04-19T00:43:52Z,0.303097547,co,airSensors,TLM0100
,0,2023-04-19T00:44:02Z,0.292085666,co,airSensors,TLM0100
,0,2023-04-19T00:44:12Z,0.285126656,co,airSensors,TLM0100
,0,2023-04-19T00:44:22Z,0.299791479,co,airSensors,TLM0100
,0,2023-04-19T00:44:32Z,0.301373015,co,airSensors,TLM0100
,0,2023-04-19T00:44:42Z,0.313637036,co,airSensors,TLM0100
,0,2023-04-19T00:44:52Z,0.300277827,co,airSensors,TLM0100
,0,2023-04-19T00:45:02Z,0.311428207,co,airSensors,TLM0100
,0,2023-04-19T00:45:12Z,0.317296273,co,airSensors,TLM0100
,0,2023-04-19T00:45:22Z,0.332848357,co,airSensors,TLM0100
,0,2023-04-19T00:45:32Z,0.323738491,co,airSensors,TLM0100
,0,2023-04-19T00:45:42Z,0.317899256,co,airSensors,TLM0100
,0,2023-04-19T00:45:52Z,0.31655203,co,airSensors,TLM0100
,0,2023-04-19T00:46:02Z,0.321210932,co,airSensors,TLM0100
,0,2023-04-19T00:46:12Z,0.324592576,co,airSensors,TLM0100
,0,2023-04-19T00:46:22Z,0.337871613,co,airSensors,TLM0100
,0,2023-04-19T00:46:32Z,0.320615753,co,airSensors,TLM0100
,0,2023-04-19T00:46:42Z,0.331171985,co,airSensors,TLM0100
,0,2023-04-19T00:46:52Z,0.340883494,co,airSensors,TLM0100
,0,2023-04-19T00:47:02Z,0.339302523,co,airSensors,TLM0100
,0,2023-04-19T00:47:12Z,0.357210742,co,airSensors,TLM0100
,0,2023-04-19T00:47:22Z,0.361850151,co,airSensors,TLM0100
,0,2023-04-19T00:47:32Z,0.365588624,co,airSensors,TLM0100
,0,2023-04-19T00:47:42Z,0.385454943,co,airSensors,TLM0100
,0,2023-04-19T00:47:52Z,0.387376744,co,airSensors,TLM0100
,0,2023-04-19T00:48:02Z,0.382747134,co,airSensors,TLM0100
,0,2023-04-19T00:48:12Z,0.393211735,co,airSensors,TLM0100
,0,2023-04-19T00:48:22Z,0.391350261,co,airSensors,TLM0100
,0,2023-04-19T00:48:32Z,0.378675696,co,airSensors,TLM0100
,0,2023-04-19T00:48:42Z,0.393701499,co,airSensors,TLM0100
,0,2023-04-19T00:48:52Z,0.403927801,co,airSensors,TLM0100
,0,2023-04-19T00:49:02Z,0.39430922,co,airSensors,TLM0100
,0,2023-04-19T00:49:12Z,0.409829635,co,airSensors,TLM0100
,0,2023-04-19T00:49:22Z,0.403056231,co,airSensors,TLM0100
,0,2023-04-19T00:49:32Z,0.39934887,co,airSensors,TLM0100
,0,2023-04-19T00:49:42Z,0.41784882,co,airSensors,TLM0100
,1,2023-04-18T23:49:42Z,0.506717264,co,airSensors,TLM0101
,1,2023-04-18T23:49:52Z,0.514990243,co,airSensors,TLM0101
,1,2023-04-18T23:50:02Z,0.500575419,co,airSensors,TLM0101
,1,2023-04-18T23:50:12Z,0.511486761,co,airSensors,TLM0101
,1,2023-04-18T23:50:22Z,0.515277364,co,airSensors,TLM0101
,1,2023-04-18T23:50:32Z,0.497130922,co,airSensors,TLM0101
,1,2023-04-18T23:50:42Z,0.515312853,co,airSensors,TLM0101
,1,2023-04-18T23:50:52Z,0.530834684,co,airSensors,TLM0101
,1,2023-04-18T23:51:02Z,0.514632912,co,airSensors,TLM0101
,1,2023-04-18T23:51:12Z,0.52665122,co,airSensors,TLM0101
,1,2023-04-18T23:51:22Z,0.545334979,co,airSensors,TLM0101
,1,2023-04-18T23:51:32Z,0.543010436,co,airSensors,TLM0101
,1,2023-04-18T23:51:42Z,0.553982248,co,airSensors,TLM0101
,1,2023-04-18T23:51:52Z,0.57396217,co,airSensors,TLM0101
,1,2023-04-18T23:52:02Z,0.562533352,co,airSensors,TLM0101
,1,2023-04-18T23:52:12Z,0.577315515,co,airSensors,TLM0101
